公司,職缺,工作內容,福利制度,薪水
眾匯智能健康股份有限公司,用戶行銷經理,"1.市場分析、擬定行銷策略，執行行銷計畫
2.學習數位平台之營運理論及運作
3.潛在用戶之開發、導流
3.平台註冊用戶之關係管理等


","*精緻西式早餐每日專人供應服務
*點心、咖啡、汽水可樂等飲品全天候供應
*規劃全員皆股東入股分紅制度
*旅遊活動
*下午茶與慶生活動等",待遇面議
聯強國際股份有限公司,JAVA程式設計師(全球第二大IT通路集團),"(2020菁英計劃)於集團總部負責亞太(台灣、大陸、香港、澳洲、紐西蘭…)營運系統之研發與管理， 運用營運大數據，打造聯強數位神經系統，提升營運智能。

1.負責前端、後端系統開發與維護。
2.應用系統模組化設計、開發、測試。
3.個性主動積極，具團隊合作精神。","【聯強的人才培育理念】

更多聯強營運及人才發展過程請關注下方連結：
https://youtu.be/Z6vS3cpeiLE

聯強經營策略 = (人才) × (系統制度) × (營運知識)

聯強國際長期積累通路經營、產品經營、運籌經營及相關支持功能之「營運知識」。並且建立高效之「營運制度」及「電腦運管系統」。

我們招募「潛力人才」，授與「營運知識」的培訓，提供「營運制度」及「電腦運管系統」工具，使其短期内即能俱備專業職能及展現專業績效。

「潛力人才」在這有系統的培訓下成為「人才」。「人才」開創提升「營運知識」、提升「制度系統」，來提升公司能耐、提升競爭力。

歡迎潛力人才的加入，我們隨時都有職缺。
　
【薪資】
年度總收入公平公正的反映個人的貢獻度，以凝聚公司同仁的向心力，激發每位同仁投入工作的動力，因而創造出更好的營運績效。同仁的年度總收入更好下，也會不斷形成善性循環。 
　
【福利】
除了扎實的培訓機制與暢通的升遷管道外，聯強非常重視提供員工充份保障且安心的工作環境，讓同仁在工作之餘，健康有保障、經濟沒煩惱、家庭照顧無後顧之憂，簡述有四大類福利：
　
1.安心與安全保障
　(1)	未滿一年新進同仁，優於勞基法額外賦予休假(依年度任職比例)。
　(2)	為所有正職員工投保至少三百萬元的定期壽險，強化員工的家庭基本保障。
　(3)	任職滿一年可申請購屋、房屋修繕、結婚、生育、購車、急難救助無息貸款。
　(4)	結婚、喪葬、住院、生育、生日等禮金/禮券。
　(5)	足額繳納勞工保險、勞工退休金提撥、全民健康保險等法定保障。
　
2.女性友善職場環境
　(1)	公司選用與晉升人才不受性別影響，所有主管職中女性人數超過四成。
　(2)	設有舒適且隱私不受打擾的哺集乳室，產後哺乳無壓力。
　(3)	友善提供彈性的育嬰留停環境，五成的女性同仁產後申請育嬰假，降低女性同仁工作與家庭照顧間的衝突，使女性同仁不因短期因素中斷職涯！
　
3.團隊建設活動
　(1)	部門旅遊與部門活動舉辦
　(2)	不定期部門餐敘
　(3)	優質新春聯歡晚會
　(4)	聯強運動會
　(5)	電影欣賞活動
　(6)	資深同仁獎勵：任職滿五、十、十五、二十年同仁，可享特別獎勵獎金。
　(7)	自助福利社：提供免費咖啡及自助福利社服務。
　
4.健康促進環境
　(1)	設置專職護理師，提供健康諮詢、舉辦健康講座與健康促進競賽，提倡同仁注重自己與家人的健康。
　(2)	定期免費健康檢查，並由護理師提供異常追蹤之必要協助。
　(3)	辦公用電腦全面採用低藍光螢幕，並持續提升辦公環境的舒適與健康。
　(4)	不定期提供專業肩頸舒壓按摩服務，改善久坐辦公的僵硬，促進血液循環。","月薪30,000~70,000元"
健康力股份有限公司,內勤電話行銷~優質名單!醫師信任的保健品牌 (近捷運站，周休二日),"◎◎醫生信任的保健品牌-健康力! ◎◎
◎◎全台灣300家診所、500位醫師推薦 ◎◎

↑↑提供全台超過百家簽約診所名單 
↑↑高詢問度試用包名單，產品高回購率

$$保健電銷獎金最高17%！！！ 
$$階梯式獎金月入十萬Up!Up!Up! 

●●健康力產品嚴選安全無毒。 
●●市售益生菌雙健字號認證，榮獲""世界品質評鑑-最高金獎""

我們提供完整的福利制度，和完善的教育訓練及培育升遷計畫。 
另享到職前六個月達標""加碼""新人獎金共30,000元！ 
(誠摯歡迎沒有電銷經驗的""你""加入我們) 

品牌+獎金+名單+培育=穩定、高收入、充滿歡樂的學習環境 

歡迎先至公司官網http://www.dradvice.asia/ 
或Line，FB，搜尋｢健康力｣ 認識我們！ 

健康力結盟超過300家診所網絡、500位醫師，串聯「AI健康力-行動診所APP」、「北醫大學大數據研究中心」、「智慧診所智慧藥局」等智慧健康服務平台，打造醫聯網生態圈，讓智慧服務的運用無遠弗屆。 

>>>公司福利<<<
※保障薪資25,000元(絕不倒扣)加月業績獎金，年終獎金、海外旅遊等多元化獎勵競賽活動。
※基本保障通通有：勞保、健保、勞退金提撥，及員工團保福利。
※六個月滿後即享特休假。
※生日禮金，慶生會，尾牙，春酒等活動和聚餐。
※員工購物優惠。
※西湖捷運站走路５分鐘即達，用餐方便，物美價廉。 
※9:30上班，6:00下班，錯開尖峰時間好輕鬆。 
※按照紅字休，周休六日，兼顧家庭生活。 
※內勤正職，每季依實領底薪加獎金平均數，調整投保級數，提撥6%退休金。 
※教育訓練：完整15天在職教育訓練，從零到有，從不會銷售到菁英，全程享有 
督導一對一教學，以及專業內訓及儲備課程。
※西式工作環境：有專用訓練教室、餐廳休閒區，明亮寬敞。
","◆基本保障通通有：勞保、健保、勞退金提撥，及員工團保福利。
◆生日禮金／禮品
◆慶生會、各項員工活動
◆員工購物優惠","月薪25,000~100,000元"
眾匯智能健康股份有限公司,保健商城事業部主管,"1.發展符合公司目標及顧客滿意度的行銷或品牌策略。
2.根據公司目標、市場特性和成本及利潤的考量，來發展和評估銷售或推廣策略。
3.評估產品開發的行銷預算及計劃（如：分派預算額度、預測投資報酬及損益情形）。
4.使用銷售預測和策略性計畫來確保產品或服務的銷售及可獲利性，分析商業發展並監控市場趨勢。
5.與開發業者、廣告業者以及業務、廣告、行銷經理共同規劃、指導和協調行銷活動及策略，以促銷產品和服務。","*精緻西式早餐每日專人供應服務
*點心、咖啡、汽水可樂等飲品全天候供應
*規劃全員皆股東入股分紅制度
*旅遊活動
*下午茶與慶生活動等",待遇面議
聯強國際股份有限公司,集團總部財會_經營分析經理/資深專員(全球第二大IT通路集團),"職務說明：
在大數據新時代下，善用經營績效分析對企業經營管理及決策判斷日益重要。這是將財會專業、經營分析、跨國管理結合的整合性工作，積極培養成為國際化經營管理幹部。

工作特色：
本公司為跨國企業，本職務隸屬於集團總部(台北)，因此工作範圍涵蓋台灣、大陸、香港、澳洲、紐西蘭、印尼、泰國、越南、印度…等。工作地點在台北，卻可透過對各國事業單位經營分析、管理及專案合作，培養國際化視野、國際化管理經驗及經營決策分析專業，實為台灣一般企業絕少之工作良機。

職涯規劃：
採循序漸進、逐步擴大工作範疇的方式，以提升整合分析、管理及跨國合作能力，並融入各事業單位營運，內化Business sense及 Management sense素養，成為財會專業及國際管理專業兼備之人才，培育為集團中高階管理幹部。

工作內容：
1. 編製經營績效分析報表 
2. 解析營運績效及營運異常，並協同事業單位一起採取改善方案，以提升經營績效 
3. 對各事業單位經營決策提出分析建議方案
4. 海內外投資事業管理","【聯強的人才培育理念】

更多聯強營運及人才發展過程請關注下方連結：
https://youtu.be/Z6vS3cpeiLE

聯強經營策略 = (人才) × (系統制度) × (營運知識)

聯強國際長期積累通路經營、產品經營、運籌經營及相關支持功能之「營運知識」。並且建立高效之「營運制度」及「電腦運管系統」。

我們招募「潛力人才」，授與「營運知識」的培訓，提供「營運制度」及「電腦運管系統」工具，使其短期内即能俱備專業職能及展現專業績效。

「潛力人才」在這有系統的培訓下成為「人才」。「人才」開創提升「營運知識」、提升「制度系統」，來提升公司能耐、提升競爭力。

歡迎潛力人才的加入，我們隨時都有職缺。
　
【薪資】
年度總收入公平公正的反映個人的貢獻度，以凝聚公司同仁的向心力，激發每位同仁投入工作的動力，因而創造出更好的營運績效。同仁的年度總收入更好下，也會不斷形成善性循環。 
　
【福利】
除了扎實的培訓機制與暢通的升遷管道外，聯強非常重視提供員工充份保障且安心的工作環境，讓同仁在工作之餘，健康有保障、經濟沒煩惱、家庭照顧無後顧之憂，簡述有四大類福利：
　
1.安心與安全保障
　(1)	未滿一年新進同仁，優於勞基法額外賦予休假(依年度任職比例)。
　(2)	為所有正職員工投保至少三百萬元的定期壽險，強化員工的家庭基本保障。
　(3)	任職滿一年可申請購屋、房屋修繕、結婚、生育、購車、急難救助無息貸款。
　(4)	結婚、喪葬、住院、生育、生日等禮金/禮券。
　(5)	足額繳納勞工保險、勞工退休金提撥、全民健康保險等法定保障。
　
2.女性友善職場環境
　(1)	公司選用與晉升人才不受性別影響，所有主管職中女性人數超過四成。
　(2)	設有舒適且隱私不受打擾的哺集乳室，產後哺乳無壓力。
　(3)	友善提供彈性的育嬰留停環境，五成的女性同仁產後申請育嬰假，降低女性同仁工作與家庭照顧間的衝突，使女性同仁不因短期因素中斷職涯！
　
3.團隊建設活動
　(1)	部門旅遊與部門活動舉辦
　(2)	不定期部門餐敘
　(3)	優質新春聯歡晚會
　(4)	聯強運動會
　(5)	電影欣賞活動
　(6)	資深同仁獎勵：任職滿五、十、十五、二十年同仁，可享特別獎勵獎金。
　(7)	自助福利社：提供免費咖啡及自助福利社服務。
　
4.健康促進環境
　(1)	設置專職護理師，提供健康諮詢、舉辦健康講座與健康促進競賽，提倡同仁注重自己與家人的健康。
　(2)	定期免費健康檢查，並由護理師提供異常追蹤之必要協助。
　(3)	辦公用電腦全面採用低藍光螢幕，並持續提升辦公環境的舒適與健康。
　(4)	不定期提供專業肩頸舒壓按摩服務，改善久坐辦公的僵硬，促進血液循環。",待遇面議
好好投資科技股份有限公司,網頁/APP互動設計師 Web Designer,"本職務是""偏重設計""的職缺。(如您著重前端技術請應徵：前端工程師)

【好好技能】- 需有 1年以上的前端經驗 [必備]
1.熟Flowchart技能，能將想法付諸流程關係。
2.熟wireframe、mockup、Prototype介面設計(iOS/Android/mobile web) 。
3.懂Design guidelines，瞭解使用者體驗設計原則。
4.熟Adobe Creative / Visio / Axure / Balsamiq Mockups / Sketch / InVision / Zeplin 等，至少其一工具。 
5.具現代設計和印刷原則知識 。 
6.熱愛行動應用與懂得觀察使用者行為。 
7.能與前後端程式開發人員針對專案進行溝通與合作。 
8具收集同行和利益相關者反饋意見能力，並將其納入改進產品


【好好嚴選】
我們公司即將成為台灣「首例」科技業變成金融機構的「純網路證券商」，首波將專注在基金交易業務，預計2019年底上線。
相關報導 https://bit.ly/2mqTgjP

與一般金融業不同的是，好好團隊流著 Internet 的DNA，我們正在找人，但尋志同道合，寧缺也不願濫選！不只找員工，更覓共同打拼的事業夥伴。

您應該看得出，我們不同一般公司更認真仔細地徵才，注重每個環節，這是我們做好一件小事的標準，我們是站在世界金融科技風口的團隊，也是「79%」一定會成功的創新公司！這剩下「21%」的不確定，等待優秀且舉足輕重的您來為我們補足，如您只是帶著打工的心態，請不要來！如希望找到環境好，福利佳，能力快速成長的公司，歡迎您來試試看。

【好好徵才】
(以下4項前提，任一未具備者勿投履歷)
1.對有金融科技有興趣與熱情，想參與最夯的金融科技專案。(您現在不需很懂金融，但要有興趣) 。
2.注重細節及使用流程，能從使用者角度思考。
3.具主動、獨立作業與思考能力、執行能力強、勇於跳出框架思考的能力。
4.能有良好溝通表達能力、擇善不固執及團隊精神。

【好好選擇】
1.我們重視使用者為中及工作氣氛，在這講求快速迭代，讓團隊互助合作有成就感！鼓勵主動提案改善，不墨守成規，打造敏捷開發、活力無限、樂在工作的新思維團隊。、
2.我們重視技術人才的培育與職涯發展，提供內部技術交流學習、外部訓練課程(公司出資)，透過不同階段工作安排與規劃，工作輪調機制，培育各領域儲備人才，讓每位員工擁有個人發展舞台與空間。
3.我們重視員工生活，公司提供內外部各項參與社團活動、旅遊補助、電影欣賞等，讓您在工作之餘，可以安排個人休閒娛樂，享受工作，樂於生活。
4.內部環境自由，可自由參與其他大數據、AI、投資理財等學習，不斷增加能力。

【好好薪資】
除工資薪水外，另有定期績效獎金、年終獎金。
我們鼓勵 Life-Work Balance！
但，若你真有工作沒做完，想熱血加班，我們設有清楚的加班費制度(按照勞基法)。

提供高於一般行情的薪酬，給具價值的您，確切薪資於面試時，將依實際能力/作品/經驗進行為最終核定，工作年資對我們不是非常重要。

【上班地點】金融科技創新園區 (台北市中正區南海路1號13樓)
 [中正紀念堂一號出口，出站一分鐘內就到辦公室] ","● 員工配股，員工認股
● 全職首年享特休(優於勞基法)，週休二日
● 除勞保、健保、勞退外，另有團保由公司全額支付
● 績效獎金、三節禮金、年終獎金
● 完整的教育訓練(公司出資提供外訓)
● 個人健康檢查、運動補助(健身、瑜珈等)
● 彈性上下班制度
● 活動多元性：慶生會、部門美食聚餐、免費電影欣賞
● 不定期員工旅遊",待遇面議
威潤科技股份有限公司,UVC產品 - 產品經理/專員,"工作內容：
1. 依據公司目標，規劃並制定產品短、中、長期Roadmap，以及資源投入與產品發布之優先順序。
2. 制定新產品規格，評估開發的可行性，進行導入並控管時程
3. 進行商品市場資料分析與商品定位，發展產品行銷策略，並進行價格策略的制定
4. 執行市場與產品趨勢調查，做為新產品開發的參考.
5. 整合開發文件、製作產品規格書等
6. 預估各專案成本，並擬定預算
","保險:
    勞保.健保.新制退休金提撥。
    團保。
休假:
    週休二日。
    其他休假制度比照勞基法規定。
獎金.津貼補助:
    端午.中秋.年終績效獎金.員工股票分紅.限制型股票.庫藏股配發。
    三節禮品/禮金.婚.喪.喜慶津貼。
    健康檢查補助。
其他福利:
    每日下午輪流提供水果.午點。
    每週三中午提供團膳。
    員工生日禮券。",待遇面議
杰華國際有限公司,財務會計專員,"1.營業稅申報
2.各類扣免繳憑單申報
3.營所稅申報
4.帳務處理(傳票登帳)及會計憑證審核整理
","◆ 保險 ◆ 
1.勞工保險 
2.全民健康保險 
3.勞工退休金提撥

◆ 獎金 ◆ 
1.開工紅包 
2.年終獎金 
3.中秋/端午/生日禮金

◆ 制度◆ 
1.完整的教育訓練
2.透明的績效考核制度
3.順暢的升遷機會
4.符合勞基法的特休制度

◆ 福利◆ 
1.定期部門聚餐
2.年終尾牙聚餐
3.中秋同樂聚餐
4.舒適明亮的工作環境
5.下午茶點心(精選咖啡豆、飲料、零食)

◆ 請 / 休假制度 ◆ 
1.特休假
2.有薪婚假
3.有薪產檢假
4.產假
   (工作滿六個月以上者工資照給；未滿六個月者減半發給)
5.有薪陪產假
6.女性同仁生理假","月薪32,000~38,000元"
動力安全資訊股份有限公司,大數據 工程師,"透過Big Data相關的技術，結合雲端服務，分析網路、作業系統、資訊安全事件、應用系統、電子商務，從資料中發掘價值，協助企業營運及發展。
這份工作的內容，包括整體系統的規劃及建置、資料分析、各種世界級解決方案的整合應用、程式的開發撰寫，雲端服務的整合應用；會接觸到的產業，主要包括金融業、高科技業及政府單位。因此，除了技術本身的發展以外，您可以透過這份工作，累積各種Domain Knowledge。
無論您是否具有相關經驗(大數據、程式撰寫、系統、網路、資安等等)，只要有志朝Big Data專業領域發展，我們誠摯地邀請您一起共創未來！","員工是動力安全 (Dynasafe)發展過程中最重要的經營夥伴，我們致力提供每位優秀同仁優渥的薪資福利措施，並持續不斷優化，期待有理想且想尋找舞臺發揮的您，一同與動力安全 (Dynasafe)共創願景。

●　薪資／獎金　【協助員工生活品質有正向的保障】
　-優於業界薪資水平
　-年度營運績效獎金
　-人才推薦獎金
　
●　訓練發展　【提供完整訓練體系，協助員工發展職能競爭力】
　-建置專門學習中心，安排新人循序漸進且完整的基礎工作技能課程訓練。
　-安排專任員工協助初階員工進行各項在職訓練 (OJT)計畫，確保學習成效。
　-依據員工職能發展及學習成效表現，提供跨領域專業技能的完整培訓，培養多面向專業技術及管理專才。
　-編列高額預算提供重點培訓員工辦理外部專業課程、認證或技術研討會等發展方案，以精進專業技能並持續成長。
　-提供員工各項軟性且貼近生活的課程／講座／研習會，提升員工生活／心靈層面的成長。

●　保險　【提昇保障，維護員工人身安全，提供生活及經濟的穩定】
　-勞保、健保、勞退提撥
　-員工團體保險，保費由公司全額負擔(含壽險、意外險及住院醫療險)
　-加強型高額度出差旅行平安保險

●　出勤／休假　【期待員工樂在工作，享受生活】
　-週休二日
　-人性化出勤管理

●　福利補助　【貼近關懷員工生活，提升滿意度，期待創造勞雇雙贏，共享成果】
　-三節禮金/禮品
　-婚喪喜慶補助
　-生育禮金/生日禮券
　-定期免費員工健康檢查
　-技術／業務同仁行動電話費用補助
　-員工旅遊
　-社團活動
　-公司週年慶及年終尾牙活動
　-員工慶生餐會","月薪30,000~40,000元"
薩摩亞商長穩智能管理有限公司,大數據系統工程師,"主要參與雲端、大數據及手機與智能設備平台研發,
-	建立畜牧業科技化運用的雲端大數據平台, 建構企業與雲端的大數據體系.
-	建構企業與雲端的數據中台架構.","◆ 獎金 / 禮品類
　1.年終獎金
　2.三節禮金/禮品
◆ 制度類
　1.績效獎金
◆ 請 / 休假制度
　1.週休二日
　2.特休/年假
　3.家庭照顧假
　4.女性同仁生理假
◆ 其他
　1.慶生會
      2.員工健康檢查
",待遇面議
